address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
425 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145168,125655,2023B
423 APPLETREE RD,PA,CAMP HILL,17011,1853,6.0,4.0,,X,455145172,125655,2023B
421 APPLETREE RD,PA,CAMP HILL,17011,1680,6.0,4.0,,X,455145176,125655,2023B
419 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145180,125655,2023B
417 APPLETREE RD,PA,CAMP HILL,17011,1797,6.0,4.0,,X,455145184,125655,2023B
415 APPLETREE RD,PA,CAMP HILL,17011,1868,13.0,4.0,,X,455145188,125655,2023B
413 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145192,125655,2023B
411 APPLETREE RD,PA,CAMP HILL,17011,1493,6.0,4.0,,X,455145196,125655,2023B
409 APPLETREE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145200,125655,2023B
407 APPLETREE RD,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145204,125655,2023B
2102 PARKSIDE RD,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145208,125655,2023B
406 N 21ST ST,PA,CAMP HILL,17011,2016,13.0,4.0,,X,455145212,125655,2023B
408 N 21ST ST,PA,CAMP HILL,17011,1680,6.0,4.0,,X,455145216,125655,2023B
410 N 21ST ST,PA,CAMP HILL,17011,1680,6.0,10.0,,X,455145220,125655,2023B
412 N 21ST ST,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145224,125655,2023B
416 N 21ST ST,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145232,125655,2023B
418 N 21ST ST,PA,CAMP HILL,17011,1493,6.0,4.0,,X,455145236,125655,2023B
420 N 21ST ST,PA,CAMP HILL,17011,1680,13.0,4.0,,X,455145240,125655,2023B
422 N 21ST ST,PA,CAMP HILL,17011,1877,13.0,4.0,,X,455145244,125655,2023B
424 N 21ST ST,PA,CAMP HILL,17011,1493,6.0,10.0,,X,455145248,125655,2023B
426 N 21ST ST,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145252,125655,2023B
428 N 21ST ST,PA,CAMP HILL,17011,1493,13.0,4.0,,X,455145260,125655,2023B
430 N 21ST ST,PA,CAMP HILL,17011,1288,6.0,10.0,,X,455145272,125655,2023B
399 WILLOW AVE,PA,CAMP HILL,17011,2115,13.0,4.0,,X,455145288,125655,2023B
355 WILLOW AVE,PA,CAMP HILL,17011,2341,13.0,4.0,,X,455145296,125655,2023B
353 WILLOW AVE,PA,CAMP HILL,17011,2048,13.0,4.0,,X,455145308,125655,2023B
349 WILLOW AVE,PA,CAMP HILL,17011,2260,13.0,4.0,,X,455145316,125655,2023B
345 WILLOW AVE,PA,CAMP HILL,17011,2120,6.0,16.0,,X,455145324,125655,2023B
341 WILLOW AVE,PA,CAMP HILL,17011,2185,6.0,4.0,,X,455145332,125655,2023B
339 WILLOW AVE,PA,CAMP HILL,17011,1890,13.0,4.0,,X,455145340,125655,2023B
333 WILLOW AVE,PA,CAMP HILL,17011,2720,13.0,16.0,,X,455145348,125655,2023B
331 WILLOW AVE,PA,CAMP HILL,17011,2439,6.0,10.0,,X,455145356,125655,2023B
323 WILLOW AVE,PA,CAMP HILL,17011,1296,6.0,16.0,,X,455145368,125655,2023B
317 WILLOW AVE,PA,CAMP HILL,17011,1456,13.0,4.0,,X,455145376,125655,2023B
311 WILLOW AVE,PA,CAMP HILL,17011,1376,13.0,16.0,,X,455145384,125655,2023B
2424 LINCOLN ST,PA,CAMP HILL,17011,2196,13.0,4.0,,X,455145396,125655,2023B
300 N 24TH ST,PA,CAMP HILL,17011,2865,13.0,16.0,,X,455145400,125655,2023B
308 N 24TH ST,PA,CAMP HILL,17011,2486,13.0,4.0,,X,455145404,125655,2023B
312 N 24TH ST,PA,CAMP HILL,17011,1962,6.0,10.0,,X,455145408,125655,2023B
