address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
999 W SOUTH ST,PA,CARLISLE,17013,1492,13.0,10.0,,X,455295876,99317,2023B
921 W SOUTH ST,PA,CARLISLE,17013,1868,13.0,10.0,,X,455295880,99317,2023B
911 W SOUTH ST,PA,CARLISLE,17013,1516,13.0,4.0,,X,455295892,99317,2023B
905 W SOUTH ST,PA,CARLISLE,17013,2325,6.0,4.0,,X,455296004,99317,2023B
176 GLENDALE ST,PA,CARLISLE,17013,2068,13.0,4.0,,X,455296036,99317,2023B
160 GLENDALE ST,PA,CARLISLE,17013,1512,13.0,4.0,,X,455296200,99317,2023B
156 GLENDALE ST,PA,CARLISLE,17013,1868,13.0,4.0,,X,455296212,99317,2023B
150 GLENDALE ST,PA,CARLISLE,17013,1563,13.0,4.0,,X,455296224,99317,2023B
153 GLENDALE ST,PA,CARLISLE,17013,1827,13.0,10.0,,X,455296236,99317,2023B
157 GLENDALE ST,PA,CARLISLE,17013,1238,13.0,4.0,,X,455296244,99317,2023B
171 GLENDALE ST,PA,CARLISLE,17013,1138,6.0,10.0,,X,455296256,99317,2023B
177 GLENDALE ST,PA,CARLISLE,17013,1486,6.0,4.0,,X,455296268,99317,2023B
845 W SOUTH ST,PA,CARLISLE,17013,1357,13.0,4.0,,X,455296308,99317,2023B
841 W SOUTH ST,PA,CARLISLE,17013,1528,13.0,10.0,,X,455296328,99317,2023B
156 BELVEDERE ST,PA,CARLISLE,17013,3850,13.0,10.0,,X,455296340,99317,2023B
140 BELVEDERE ST,PA,CARLISLE,17013,1712,6.0,4.0,,X,455296408,99317,2023B
126 BELVEDERE ST,PA,CARLISLE,17013,1947,13.0,4.0,,X,455296488,99317,2023B
124 BELVEDERE ST,PA,CARLISLE,17013,1391,13.0,4.0,,X,455296504,99317,2023B
116 BELVEDERE ST,PA,CARLISLE,17013,1581,6.0,4.0,,X,455296540,99317,2023B
108 BELVEDERE ST,PA,CARLISLE,17013,1130,13.0,4.0,,X,455296544,99317,2023B
789 W SOUTH ST,PA,CARLISLE,17013,2643,13.0,16.0,,X,455296548,99317,2023B
777 W SOUTH ST,PA,CARLISLE,17013,2160,13.0,4.0,,X,455296552,99317,2023B
765 W SOUTH ST,PA,CARLISLE,17013,2657,13.0,4.0,,X,455296556,99317,2023B
753 W SOUTH ST,PA,CARLISLE,17013,3568,13.0,16.0,,X,455296560,99317,2023B
745 W SOUTH ST,PA,CARLISLE,17013,3499,13.0,4.0,,X,455296564,99317,2023B
735 W SOUTH ST,PA,CARLISLE,17013,3215,13.0,8.0,,X,455296568,99317,2023B
731 W SOUTH ST,PA,CARLISLE,17013,2688,6.0,4.0,13,X,455296580,99317,2023B
725 W SOUTH ST,PA,CARLISLE,17013,1483,6.0,10.0,,X,455296640,99317,2023B
170 WILSON ST,PA,CARLISLE,17013,1398,13.0,4.0,,X,455296644,99317,2023B
150 WILSON ST,PA,CARLISLE,17013,1440,13.0,4.0,,X,455296648,99317,2023B
144 WILSON ST,PA,CARLISLE,17013,1935,13.0,4.0,,X,455296652,99317,2023B
140 WILSON ST,PA,CARLISLE,17013,3373,13.0,4.0,,X,455296656,99317,2023B
130 WILSON ST,PA,CARLISLE,17013,1651,13.0,10.0,,X,455296660,99317,2023B
66 WILSON ST,PA,CARLISLE,17013,1968,13.0,4.0,13,X,455296668,99317,2023B
62 WILSON ST,PA,CARLISLE,17013,1279,6.0,4.0,,X,455296680,99317,2023B
58 WILSON ST,PA,CARLISLE,17013,1020,6.0,4.0,,X,455296928,99317,2023B
56 WILSON ST,PA,CARLISLE,17013,1514,6.0,16.0,,X,455296936,99317,2023B
52 WILSON ST,PA,CARLISLE,17013,1529,13.0,4.0,,X,455296940,99317,2023B
