address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
1617 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532700,65296.0,2023B
1619 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532704,65296.0,2023B
1621 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532708,65296.0,2023B
1623 NAUDAIN ST,PA,HARRISBURG,17104,1181,,,,X,455532712,65296.0,2023B
1625 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532716,65296.0,2023B
1627 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532720,65296.0,2023B
1629 NAUDAIN ST,PA,HARRISBURG,17104,1188,,,,X,455532724,65296.0,2023B
1631 NAUDAIN ST,PA,HARRISBURG,17104,1148,1.0,,,X,455532728,65296.0,2023B
1633 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532732,65296.0,2023B
1635 NAUDAIN ST,PA,HARRISBURG,17104,1148,,,,X,455532736,65296.0,2023B
1637 NAUDAIN ST,PA,HARRISBURG,17104,1232,,,,X,455532740,65296.0,2023B
1639 NAUDAIN ST,PA,HARRISBURG,17104,1246,,,,X,455532744,65296.0,2023B
1610 CATHERINE ST,PA,HARRISBURG,17104,1092,,,,X,455532748,65296.0,2023B
1612 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532752,65296.0,2023B
1614 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532756,65296.0,2023B
1616 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532760,65296.0,2023B
1618 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532764,65296.0,2023B
1620 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532768,65296.0,2023B
1622 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532772,65296.0,2023B
1624 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532776,65296.0,2023B
1626 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532780,65296.0,2023B
1628 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532784,65296.0,2023B
1630 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532788,65296.0,2023B
1632 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532792,65296.0,2023B
1634 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532796,65296.0,2023B
1636 CATHERINE ST,PA,HARRISBURG,17104,1096,,,,X,455532800,65296.0,2023B
1638 CATHERINE ST,PA,HARRISBURG,17104,1060,,,,X,455532804,65296.0,2023B
1640 CATHERINE ST,PA,HARRISBURG,17104,1092,,,,X,455532808,65296.0,2023B
524 S 17TH ST,PA,HARRISBURG,17104,1830,,,,X,455532812,65296.0,2023B
526 S 17TH ST,PA,HARRISBURG,17104,1734,,,,X,455532816,65296.0,2023B
528 S 17TH ST,PA,HARRISBURG,17104,1698,,,,X,455532820,65296.0,2023B
530 S 17TH ST,PA,HARRISBURG,17104,1734,,,,X,455532824,65296.0,2023B
532 S 17TH ST,PA,HARRISBURG,17104,1734,,,,X,455532828,65296.0,2023B
534 S 17TH ST,PA,HARRISBURG,17104,1830,,,,X,455532832,65296.0,2023B
536 S 17TH ST,PA,HARRISBURG,17104,1874,,,,X,455532836,65296.0,2023B
538 S 17TH ST,PA,HARRISBURG,17104,1734,,,,X,455532840,65296.0,2023B
540 S 17TH ST,PA,HARRISBURG,17104,1734,,,,X,455532844,65296.0,2023B
542 S 17TH ST,PA,HARRISBURG,17104,1734,,,,X,455532848,65296.0,2023B
544 S 17TH ST,PA,HARRISBURG,17104,1734,,,,X,455532852,65296.0,2023B
546 S 17TH ST,PA,HARRISBURG,17104,1830,,,,X,455532856,65296.0,2023B
123 SAYFORD ST,PA,HARRISBURG,17102,1111,,,,X,455532980,83649.0,2023B
125 SAYFORD ST,PA,HARRISBURG,17102,1111,,,,X,455532984,83649.0,2023B
127 SAYFORD ST,PA,HARRISBURG,17102,1111,,,,X,455532988,83649.0,2023B
112 VERBEKE ST,PA,HARRISBURG,17102,1738,,,,X,455532992,83649.0,2023B
114 VERBEKE ST,PA,HARRISBURG,17102,1556,1.0,,,X,455532996,83649.0,2023B
116 VERBEKE ST,PA,HARRISBURG,17102,1468,,,,X,455533000,83649.0,2023B
118 VERBEKE ST,PA,HARRISBURG,17102,1406,,,,X,455533004,83649.0,2023B
120 VERBEKE ST,PA,HARRISBURG,17102,1594,,,,X,455533008,83649.0,2023B
122 VERBEKE ST,PA,HARRISBURG,17102,1410,1.0,,,X,455533012,83649.0,2023B
124 VERBEKE ST,PA,HARRISBURG,17102,1433,,,,X,455533016,83649.0,2023B
126 VERBEKE ST,PA,HARRISBURG,17102,2316,1.0,,,X,455533020,83649.0,2023B
1314 PENN ST,PA,HARRISBURG,17102,1422,,,,X,455533028,83649.0,2023B
1312 PENN ST,PA,HARRISBURG,17102,1625,,,,X,455533032,83649.0,2023B
1311 N 2ND ST,PA,HARRISBURG,17102,1296,,,,X,455533040,83649.0,2023B
1309 N 2ND ST,PA,HARRISBURG,17102,1339,,,,X,455533044,83649.0,2023B
1307 N 2ND ST,PA,HARRISBURG,17102,1396,,,,X,455533048,83649.0,2023B
1305 N 2ND ST,PA,HARRISBURG,17102,1339,,,,X,455533052,83649.0,2023B
1303 N 2ND ST,PA,HARRISBURG,17102,1256,,,,X,455533056,83649.0,2023B
1301 N 2ND ST,PA,HARRISBURG,17102,1504,,,,X,455533060,83649.0,2023B
212 VERBEKE ST,PA,HARRISBURG,17102,1276,,,,X,455533068,83649.0,2023B
210 VERBEKE ST,PA,HARRISBURG,17102,1396,,,,X,455533072,83649.0,2023B
208 VERBEKE ST,PA,HARRISBURG,17102,1276,,,,X,455533076,83649.0,2023B
202 VERBEKE ST,PA,HARRISBURG,17102,1232,,,,X,455533088,83649.0,2023B
237 SAYFORD ST,PA,HARRISBURG,17102,854,,,,X,455533100,83649.0,2023B
235 SAYFORD ST,PA,HARRISBURG,17102,959,1.0,,,X,455533104,83649.0,2023B
233 SAYFORD ST,PA,HARRISBURG,17102,1264,,,,X,455533108,83649.0,2023B
231 SAYFORD ST,PA,HARRISBURG,17102,1264,,,,X,455533112,83649.0,2023B
229 SAYFORD ST,PA,HARRISBURG,17102,1264,,,,X,455533116,83649.0,2023B
1317 PENN ST,PA,HARRISBURG,17102,1078,,,,X,455533124,83649.0,2023B
1315 PENN ST,PA,HARRISBURG,17102,790,,,,X,455533128,83649.0,2023B
1313 PENN ST,PA,HARRISBURG,17102,1049,,,,X,455533132,83649.0,2023B
1311 PENN ST,PA,HARRISBURG,17102,1252,,,,X,455533136,83649.0,2023B
1309 PENN ST,PA,HARRISBURG,17102,1296,,,,X,455533140,83649.0,2023B
234 VERBEKE ST,PA,HARRISBURG,17102,2362,1.0,,,X,455533144,83649.0,2023B
232 VERBEKE ST,PA,HARRISBURG,17102,1836,1.0,,,X,455533148,83649.0,2023B
230 VERBEKE ST,PA,HARRISBURG,17102,1634,,,,X,455533152,83649.0,2023B
228 VERBEKE ST,PA,HARRISBURG,17102,1810,1.0,,,X,455533156,83649.0,2023B
226 VERBEKE ST,PA,HARRISBURG,17102,1740,1.0,,,X,455533160,83649.0,2023B
224 VERBEKE ST,PA,HARRISBURG,17102,1810,,,,X,455533164,83649.0,2023B
222 VERBEKE ST,PA,HARRISBURG,17102,1878,,,,X,455533168,83649.0,2023B
220 VERBEKE ST,PA,HARRISBURG,17102,1455,,,,X,455533172,83649.0,2023B
218 VERBEKE ST,PA,HARRISBURG,17102,1365,,,,X,455533176,83649.0,2023B
216 VERBEKE ST,PA,HARRISBURG,17102,1365,,,,X,455533180,83649.0,2023B
1307 PENN ST,PA,HARRISBURG,17102,720,,,,X,455533184,83649.0,2023B
1309 GREEN ST,PA,HARRISBURG,17102,1120,,,,X,455533192,83649.0,2023B
1307 1/2 GREEN ST,PA,HARRISBURG,17102,1337,1.0,,,X,455533196,83649.0,2023B
1307 GREEN ST,PA,HARRISBURG,17102,1236,,,,X,455533200,83649.0,2023B
1305 1/2 GREEN ST,PA,HARRISBURG,17102,1236,,,,X,455533204,83649.0,2023B
1305 GREEN ST,PA,HARRISBURG,17102,1236,,,,X,455533208,83649.0,2023B
1303 GREEN ST,PA,HARRISBURG,17102,1392,,,,X,455533212,83649.0,2023B
264 VERBEKE ST,PA,HARRISBURG,17102,1499,,,,X,455533224,83649.0,2023B
262 VERBEKE ST,PA,HARRISBURG,17102,1823,,,,X,455533228,83649.0,2023B
256 VERBEKE ST,PA,HARRISBURG,17102,1874,,,,X,455533240,83649.0,2023B
254 VERBEKE ST,PA,HARRISBURG,17102,1830,,,,X,455533244,83649.0,2023B
252 VERBEKE ST,PA,HARRISBURG,17102,1830,,,,X,455533248,83649.0,2023B
250 1/2 VERBEKE ST,PA,HARRISBURG,17102,1920,,,,X,455533252,83649.0,2023B
1332 N 4TH ST,PA,HARRISBURG,17102,572,,,,X,455533304,83649.0,2023B
1328 N 4TH ST,PA,HARRISBURG,17102,1234,,,,X,455533308,83649.0,2023B
1326 N 4TH ST,PA,HARRISBURG,17102,1175,,,,X,455533312,83649.0,2023B
1322 N 4TH ST,PA,HARRISBURG,17102,1176,,,,X,455533320,83649.0,2023B
1320 N 4TH ST,PA,HARRISBURG,17102,1099,,,,X,455533324,83649.0,2023B
321 CALDER ST,PA,HARRISBURG,17102,923,1.0,,,X,455533332,83649.0,2023B
319 CALDER ST,PA,HARRISBURG,17102,992,,,,X,455533336,83649.0,2023B
317 CALDER ST,PA,HARRISBURG,17102,1601,,,,X,455533340,83649.0,2023B
315 CALDER ST,PA,HARRISBURG,17102,1601,,,,X,455533344,83649.0,2023B
1331 WILLIAMS ST,PA,HARRISBURG,17102,1164,,,,X,455533348,83649.0,2023B
1329 WILLIAMS ST,PA,HARRISBURG,17102,1188,,,,X,455533352,83649.0,2023B
1325 WILLIAMS ST,PA,HARRISBURG,17102,1317,,,,X,455533356,83649.0,2023B
1333 JAMES ST,PA,HARRISBURG,17102,784,,,,X,455533416,83649.0,2023B
1329 JAMES ST,PA,HARRISBURG,17102,1213,,,,X,455533420,83649.0,2023B
1327 JAMES ST,PA,HARRISBURG,17102,1288,,,,X,455533424,83649.0,2023B
1325 JAMES ST,PA,HARRISBURG,17102,881,,,,X,455533428,83649.0,2023B
1323 JAMES ST,PA,HARRISBURG,17102,819,,,,X,455533432,83649.0,2023B
1321 JAMES ST,PA,HARRISBURG,17102,870,1.0,,,X,455533436,83649.0,2023B
1319 JAMES ST,PA,HARRISBURG,17102,932,,,,X,455533440,83649.0,2023B
1317 JAMES ST,PA,HARRISBURG,17102,1144,,,,X,455533444,83649.0,2023B
1315 JAMES ST,PA,HARRISBURG,17102,1170,,,,X,455533448,83649.0,2023B
805 S 16TH ST,PA,HARRISBURG,17104,1438,,,,X,455533532,65296.0,2023B
1334 FULTON ST,PA,HARRISBURG,17102,1176,1.0,,,X,455533544,83649.0,2023B
1332 FULTON ST,PA,HARRISBURG,17102,1176,1.0,,,X,455533552,83649.0,2023B
1330 FULTON ST,PA,HARRISBURG,17102,1537,,,,X,455533556,83649.0,2023B
1328 FULTON ST,PA,HARRISBURG,17102,1537,1.0,,,X,455533560,83649.0,2023B
